Language,Latitude,Longitude,ID,ISO code,Maximal onset,Maximal coda,CV language,CVC language,CCV language,CCVC language,Maximal CV contrasts,onsets allowed,Codas require onsets,Onset second C is preferentially glide,Any Glides,Onset second C  y,Onset second C  w,Onset second C is preferentially liquid,Any rhotics,Any laterals,Liquid  r-like,Liquid  ell-like,Coda  p t k glottal,Coda  glottal stop,PalatalsAffricates ts,Coda  nasal,Coda  ng,Coda  r l,Coda  s,Coda  glide,C1 in a CC coda  nasal,C1 in a CC coda  liquid,C1 in a CC coda  glide,C1 in a CC coda  glottal stop,C2 in a CC coda  s,General epenthesis,Sesquisyllabic epenthesis,Syllabic consonants,Syllabic nasals,Syllabic non-nasals,Glottal stops in onsets,Glottal stops in codas,Velar nasals in onsets,Velar nasals in codas,Total consonants,Total vowels,Tonal contrasts,Creaky tones,Breathy tones,Total obstruents,Total sonorants,Total egressive consonants,Total plosives,Supralaryngeal Plosive places,Supralaryngeal Plosive series,Plosive manners,Voiceless plosives,Voiced plosives,Aspirated plosives,Ejective plosives,Implodedglottalised plosives,Prenasalised plosives,Prenasalised voiceless plosives,Prenasalised aspirated plosives,Prenasalised breathy plosives,Fully voiceless prenasalised plosives,Postnasalised plosives,Breathy plosives,Pharyngealised plosives,Rounded plosives,Labialvelar stops,Uvular stops,glottal stops,Coronal contrasts in stops,How many coronal stop places oral are there,Coronal affricates,How many coronal affricate series are there,Gap for p,Gap for c,Gap for j,Gap for g,Gaps for both p and c,Gaps for both j and g,Gaps for both p and g,Unexpected b contrast,Unexpected d contrast,Unexpected j contrast,Unexpected g contrast,t more front than d,d more front than t,Nasal stops,Total nasals,Nasal places,Nasal manners,Glottalised nasals,Voiceless nasals,Breathy nasals,Rounded nasals,labiodental nasals,How many coronal nasal places are there,retroflex nasals,palatal nasals,Velar nasals,uvular nasals,labialvelar nasals,Fricatives,Total fricatives,Fricative manners,Voiceless fricatives,Voiced fricatives,Glottalised fricatives,Aspirated fricatives,Rounded fricatives,Prenasalised fricatives,Ejective fricatives,Dental fricatives,Lateral fricatives,Retroflex fricatives,Dorsal fricatives,Pharyngeal fricatives,Any liquids,Total liquids,Any rhotics,Any laterals,Bilabial trills,Total rhotics,Total lateral,Lateral places,Liquid manners,Voiceless liquids,Glottalised liquids,Breathy liquids,Retroflex laterals,Palatal laterals,Velar laterals,Clicks,Total clicks,Bilabial clicks,Dental clicks,Alveolar clicks,Lateral clicks,Postalveolar clicks,Palatal clicks,Glides,Glide series,Glide manners,Glottalised glides,Voiceless glides,Breathy glides,Linguolabials,Uvular consonants,Glottalised sonorants,Voiceless sonorants,Breathy sonorants,Long vowels,Nasalised vowels,Front rounded vowels,Contrastive vowel heights,Topless vowel system no i or u,Bottomless vowel system no a,Interior vowel system contains schwa,Contrastive vowel phonations,Creaky vowels,Breathy vowels,Pharyngealised vowels,Tense vowels,Voiceless vowels,Language family,Language family1,Language family2,Language family3,Language family4,Language family5,Is this language an isolate,World macro-region,WALS area,Autotyp,Country,Ancient language,Papuan,Altitude,Eastness,SOV,SVO,VSO,VOS,OVS,OSV
Beja,18,36,1,bej,2,2,0,0,0,0,600,1,0,0,1,0,0,0,1,1,0,0,0,0,?,1,0,1,1,?,1,1,0,0,0,?,?,0,0,0,1,1,0,0,20,5,2,0,0,13,7,20,9,4,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,3,3,1,0,0,0,0,0,2,0,0,0,0,0,1,4,1,1,0,0,0,0,0,0,0,0,1,0,0,1,2,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,Afro-Asiatic,Cushitic,?,?,?,?,0,Africa,Africa,North Africa,Sudan,0,0,538,56,1,0,0,0,0,0
Tamazight,33,-4,2,tzm,3,3,0,0,0,0,60,6,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,?,?,?,?,0,0,20,3,0,0,0,12,8,20,10,5,6,4,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,1,0,0,0,0,0,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,4,1,1,0,2,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,Afro-Asiatic,Berber,?,?,?,?,0,Africa,Africa,North Africa,Morocco,0,0,915,16,0,0,1,0,0,0
Riff,34,-4,3,rif,3,2,0,0,0,0,100,4,0,0,1,0,0,0,1,1,0,0,0,0,?,0,0,0,0,?,0,1,0,0,0,0,1,1,?,?,0,0,0,0,20,5,0,0,0,12,8,20,10,6,6,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,3,1,0,0,0,0,0,1,0,1,0,0,0,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,1,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,Afro-Asiatic,Berber,?,?,?,?,0,Africa,Africa,North Africa,Morocco,0,0,1002,16,0,1,0,0,0,0
Kabyle,36.5,5,4,kab,3,3,0,0,0,0,188,2,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,?,1,0,0,1,0,0,0,1,1,?,0,0,0,0,47,4,0,0,0,39,8,47,15,5,8,3,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,1,0,0,0,0,0,1,24,2,1,1,0,0,1,0,0,1,0,1,1,1,1,4,1,1,0,2,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,1,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,Afro-Asiatic,Berber,?,?,?,?,0,Africa,Africa,North Africa,Algeria,0,0,1025,25,0,0,1,0,0,0
Tashelhiyt,31,-5,5,shi,3,3,0,0,0,0,99,5,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,33,3,0,0,0,25,8,33,11,4,6,3,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,1,0,0,0,0,0,1,14,2,1,1,0,0,1,0,0,0,0,1,1,1,1,4,1,1,0,2,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,Afro-Asiatic,Berber,?,?,?,?,0,Africa,Africa,North Africa,Morocco,0,0,858,15,0,1,1,1,0,0
Zenaga,16.5,-16,6,zen,2,2,0,0,0,0,264,4,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,?,?,1,0,0,0,0,0,1,1,1,0,0,0,0,0,33,8,0,0,0,24,9,33,11,5,5,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,0,0,0,0,0,1,0,1,0,0,0,1,13,2,1,1,0,0,0,0,0,1,0,1,1,0,1,4,1,1,0,2,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,1,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,Afro-Asiatic,Berber,?,?,?,?,0,Africa,Africa,West Africa,Mauritania,0,0,5,4,0,0,1,1,0,0
Buduma,13.6,14,7,bdm,2,1,0,0,0,1,108,3,0,1,1,1,1,0,1,1,0,0,1,0,?,0,0,1,0,?,0,0,0,0,0,0,0,1,1,0,0,0,0,0,18,6,0,0,0,12,6,18,10,4,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,1,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,Afro-Asiatic,Chadic,?,?,?,?,0,Africa,Africa,West Africa,Chad,0,0,294,34,0,1,0,0,0,0
Ga'anda,10.33,12.58,8,gqa,1,1,0,1,0,0,1248,2,0,0,1,0,0,0,1,1,0,0,?,0,?,?,?,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,?,?,26,6,3,0,0,18,8,26,12,4,5,3,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,3,3,1,0,0,0,0,0,1,0,0,1,0,0,1,6,1,1,0,0,0,1,0,0,0,1,1,1,0,1,2,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,1,1,0,0,1,0,0,3,0,0,1,1,0,0,0,0,0,Afro-Asiatic,Chadic,?,?,?,?,0,Africa,Africa,West Africa,Nigeria,0,0,382,32.58,0,?,?,?,0,0
Gude,10.05,14.3,9,gde,1,0,1,0,0,0,870,0,0,0,0,0,0,0,1,1,0,0,0,0,?,0,0,0,0,?,0,0,0,0,0,0,0,0,0,0,?,?,1,0,29,5,2,0,0,24,5,29,17,3,4,5,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,3,3,1,0,0,0,0,0,1,0,0,1,0,0,1,7,2,1,1,0,0,0,0,0,0,1,0,1,0,1,2,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,Afro-Asiatic,Chadic,?,?,?,?,0,Africa,Africa,West Africa,Cameroon,0,0,601,34.3,0,0,1,0,0,0
Margi,11,13,10,mrt,?,?,?,?,?,?,612,?,?,?,?,?,?,?,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,34,6,2,0,0,25,9,34,15,4,6,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0,0,1,1,0,1,0,0,0,0,0,0,0,1,4,4,1,0,0,0,0,0,1,0,1,1,0,0,1,10,2,1,1,0,0,0,0,0,0,1,1,1,0,1,3,1,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,Afro-Asiatic,Chadic,?,?,?,?,0,Africa,Africa,West Africa,Nigeria,0,0,420,33,0,1,0,0,0,0
