	rice	beef	fruit	vegetables	congee	soup	alcohol	tea	water
Ximeng informant 1									
rice	1								
beef		1	1	1	1				
fruit		1	1	1	1				
vegetables		1	1	1	1				
congee		1	1	1	1				
soup						1			
alcohol							1	1	1
tea							1	1	1
water							1	1	1
Ximeng informant 2									
rice	1								
beef		1	1	1					
fruit		1	1	1					
vegetables		1	1	1					
congee					1				
soup						1	1	1	1
alcohol						1	1	1	1
tea						1	1	1	1
water						1	1	1	1
Dabangxie									
rice	1	1	1	1	1	1	1	1	1
beef	1	1	1	1	1	1	1	1	1
fruit	1	1	1	1	1	1	1	1	1
vegetables	1	1	1	1	1	1	1	1	1
congee	1	1	1	1	1	1	1	1	1
soup	1	1	1	1	1	1	1	1	1
alcohol	1	1	1	1	1	1	1	1	1
tea	1	1	1	1	1	1	1	1	1
water	1	1	1	1	1	1	1	1	1
Wengwa									
rice	1								
beef		1	1	1					
fruit		1	1	1					
vegetables		1	1	1					
congee									
soup									
alcohol							1	1	1
tea							1	1	1
water							1	1	1
Mangjing									
rice	1								
beef		1	1	1					
fruit		1	1	1					
vegetables		1	1	1					
congee					1	1	1	1	1
soup					1	1	1	1	1
alcohol					1	1	1	1	1
tea					1	1	1	1	1
water					1	1	1	1	1
Manghong									
rice	1								
beef		1	1	1					
fruit		1	1	1					
vegetables		1	1	1					
congee					1				
soup						1	1	1	1
alcohol						1	1	1	1
tea						1	1	1	1
water						1	1	1	1
Wengding									
rice	1								
beef		1	1	1	1				
fruit		1	1	1	1				
vegetables		1	1	1	1				
congee		1	1	1	1				
soup									
alcohol							1	1	1
tea							1	1	1
water							1	1	1
Menglian informant 1									
rice	1								
beef		1	1	1					
fruit		1	1	1					
vegetables		1	1	1					
congee					1				
soup									
alcohol							1	1	1
tea							1	1	1
water							1	1	1
Menglian informant 2									
rice	1				1				
beef		1	1	1					
fruit		1	1	1					
vegetables		1	1	1					
congee	1				1				
soup						1	1	1	1
alcohol						1	1	1	1
tea						1	1	1	1
water						1	1	1	1
Menglian informant 1’s grandmother									
rice	1								
beef		1	1						
fruit		1	1						
vegetables				1	1				
congee				1	1				
soup									
alcohol							1	1	1
tea							1	1	1
water							1	1	1
Gongxin									
rice	1								
beef		1	1	1					
fruit		1	1	1					
vegetables		1	1	1					
congee					1				
soup									
alcohol							1		1
tea								1	
water							1		1
Zhanglang informant 1									
rice	1								
beef		1							
fruit			1						
vegetables				1					
congee									
soup						1			
alcohol							1	1	1
tea							1	1	1
water							1	1	1
Zhanglang man in house									
rice	1								
beef		1							
fruit			1						
vegetables				1					
congee									
soup						1			
alcohol							1	1	1
tea							1	1	1
water							1	1	1
Bada									
rice	1								
beef		1							
fruit			1						
vegetables				1					
congee									
soup									
alcohol							1	1	1
tea							1	1	1
water							1	1	1
Xiaomenge									
rice	1								
beef		1	1	1	1	1	1	1	1
fruit		1	1	1	1	1	1	1	1
vegetables		1	1	1	1	1	1	1	1
congee		1	1	1	1	1	1	1	1
soup		1	1	1	1	1	1	1	1
alcohol		1	1	1	1	1	1	1	1
