"wals","FAM","GEN","SUBGEN","OID_","Language","Population","Latitude","Longitude","Genus","Family","alt","bio1","bio4","bio12","bio17","X100alt","X100bio1","X100bio4","X100bio12","X100bio17","X500alt","X500bio1","X500bio4","X500bio12","X500bio17","ID","ISO.code","Language.1","Family.1","Region","Autotyp.area","Coordinates"
"bej","Afro-Asiatic","Cushitic","NorthCushitic",1,"O'odham",14094,32,-112,208101,208,622,203,7088,281,14,721.17,198.07,6939.15,304.04,15.4,933.5,176.43,6610.52,303.57,21.44,1,"bej ","Beja ","Afro-Asiatic ","Africa ","North Africa ","18, 36"
"brf","Afro-Asiatic","Berber","NorthernBerber",3,"Ahtna",80,62,-145,168101,168,657,-35,12082,326,35,846.88,-38.96,11450.3,417.84,52.65,937.13,-46.77,11587.9,561.44,81.53,3,"rif ","Riff ","Afro-Asiatic ","Africa ","North Africa ","34, -4"
"kbl","Afro-Asiatic","Berber","NorthernBerber",4,"Akawaio",5350,6,-59.5,123101,123,157,257,566,2494,360,238.79,253.41,548.85,2375.05,354.36,269.54,257.27,536.47,2025.02,223.54,4,"kab ","Kabyle ","Afro-Asiatic ","Africa ","North Africa ","36.5, 5"
"tas","Afro-Asiatic","Berber","NorthernBerber",5,"Alamblak",1530,-4.67,143.33,188101,188,70,269,246,3124,509,712.17,235.93,281.91,2873.98,479.71,578.49,239.35,513.91,3235.17,579.83,5,"shi ","Tashelhiyt ","Afro-Asiatic ","Africa ","North Africa ","31, -5"
"bud","Afro-Asiatic","Chadic","Biu-Mandara",7,"Albanian",7436990,41,20,145101,145,112,152,6076,1041,115,606.04,121.77,6077.08,1082.28,124.65,597.45,114.76,6692.58,813.72,123.16,7,"bdm ","Buduma ","Afro-Asiatic ","Africa ","West Africa ","13.6, 14"
"gnd","Afro-Asiatic","Chadic","Biu-Mandara",8,"Aleut(Eastern)",500,54.75,-164,135102,135,490,20,4454,975,178,201.88,31.3,4519.49,959.14,171.24,154.61,32.3,4722.4,894.44,156.18,8,"gqa ","Ga'anda ","Afro-Asiatic ","Africa ","West Africa ","10.33, 12.58"
"gud","Afro-Asiatic","Chadic","Biu-Mandara",9,"Amele",5300,-5.25,145.58,202101,202,111,263,209,3319,488,691.74,235.26,306.3,3140.27,421.17,693.78,233.11,517.13,3151.55,545.43,9,"gde ","Gude ","Afro-Asiatic ","Africa ","West Africa ","10.05, 14.3"
"mrg","Afro-Asiatic","Chadic","Biu-Mandara",10,"Amharic",21811560,10,38,101101,101,1183,228,1492,905,15,2049.84,180.33,1303.45,1130.97,27.47,1534.74,213.37,1352.61,1051.06,40.53,10,"mrt ","Margi ","Afro-Asiatic ","Africa ","West Africa ","11, 13"
"mof","Afro-Asiatic","Chadic","Biu-Mandara",11,"Amuesha",9830,-10.5,-75.42,109101,109,2068,174,793,1145,92,2195.86,163.3,626.47,1594.91,154.51,1622.01,186.89,822.29,1364.75,134.68,11,"mif ","Mofu ","Afro-Asiatic ","Africa ","West Africa ","10.5, 14"
"mgu","Afro-Asiatic","Chadic","Biu-Mandara",12,"GreatAndamanese",7,12,92.67,136101,136,50,264,656,3062,80,45.18,265.1,651.42,3066.61,78.89,38.77,267.71,648.37,2819.01,89.53,12,"mug ","Musgu ","Afro-Asiatic ","Africa ","West Africa ","11, 15"
"ter","Afro-Asiatic","Chadic","Biu-Mandara",13,"ApinayΘ",1260,-5.5,-48,160101,160,145,265,287,1675,57,189.31,261.34,312.76,1669.23,63.6,201.51,261.26,425.38,1782.9,76.82,13,"ttr ","Tera ","Afro-Asiatic ","Africa ","West Africa ","11, 11.83"
"awn","Afro-Asiatic","Cushitic","CentralCushitic",14,"Apurinπ",2780,-9,-67,109101,109,169,258,569,1994,114,152.55,258.42,588.39,1978.7,110.12,166.53,257.86,604.1,2088.66,144.74,14,"awn ","Awngi ","Afro-Asiatic ","Africa ","Ethiopia ","10.83, 36.67"
"bln","Afro-Asiatic","Cushitic","CentralCushitic",15,"Arabela",50,-2,-75.17,222101,222,191,257,522,2737,526,192,256.95,512.7,2796.33,546.12,539.96,241.93,489.12,2593.98,463.15,15,"byn ","Bilin ","Afro-Asiatic ","Africa ","Ethiopia ","15.9, 38.3"
"kem","Afro-Asiatic","Cushitic","CentralCushitic",16,"Arabic(Egyptian)",53990000,30,31,101101,101,195,204,5407,25,0,103.87,207.98,5442.56,24.62,0,243.71,204.1,5509.18,31.64,0,16,"ahg ","Kemant ","Afro-Asiatic ","Africa ","Ethiopia ","12.9, 37"
"ker","Afro-Asiatic","Chadic","EastChadic",17,"Araona",110,-12.33,-67.75,193101,193,191,259,1014,1735,133,195.13,258.75,1013.98,1747.09,134.02,727.84,231.72,1005.81,1798.75,130.14,17,"ker ","Kera ","Afro-Asiatic ","Africa ","West Africa ","9.83, 15.08"
"lel","Afro-Asiatic","Chadic","EastChadic",18,"Archi",970,42,46.83,169101,169,3191,-21,7188,747,63,1714.09,56.97,7642,686.98,71.22,799.79,96.81,8653.09,464.79,64.19,18,"lln ","Lele ","Afro-Asiatic ","Africa ","West Africa ","9.08, 15.58"
"orh","Afro-Asiatic","Cushitic","EastCushitic",19,"Armenian(Eastern)",5924320,40,45,145110,145,1742,74,8345,399,59,1704.49,76.14,8503.35,418.28,55.83,1370.98,90.1,8425.92,590.98,63.47,19,"hae ","Oromo ","Afro-Asiatic ","Africa ","Ethiopia ","9, 37"
"ren","Afro-Asiatic","Cushitic","EastCushitic",20,"Asmat",7000,-5.5,138.5,202103,202,20,267,702,4176,901,21.78,266.88,690,3949.6,857.8,461.01,245.55,576.09,3208.6,620.15,20,"rel ","Rendille ","Afro-Asiatic ","Africa ","Southern Africa ","2, 37.5"
"som","Afro-Asiatic","Cushitic","EastCushitic",21,"Atayal",84300,24.5,121.33,112102,112,2645,87,3413,3199,298,829.55,181.95,3946.82,2532.44,260.77,458.77,187.28,5555.24,1828.86,157.02,21,"som ","Somali ","Afro-Asiatic ","Africa ","Ethiopia ","3, 45"
"cop","Afro-Asiatic","Egyptian","Egyptian",22,"Avar",715000,42.5,46.5,169102,169,2022,34,7582,777,68,1646.95,52.07,7902.44,707.43,70.39,754.01,94.48,8781.33,470.01,67.12,22,"cop ","Coptic ","Afro-Asiatic ","Africa ","North Africa ","29, 31"
"diz","North_Omotic","Dizoid","Dizoid",23,"AwaPit",13000,1.5,-78.25,115101,115,397,241,235,4854,1018,776.64,223.85,265.08,3124.81,543.81,960.26,217.31,443.21,2657.16,419.83,23,"mdx ","Dizi ","Afro-Asiatic ","Africa ","Ethiopia ","6.17, 36.5"
"hmr","South_Omotic","AHK","Hamer-Karo",24,"Aymara",2808000,-17,-69,113101,113,3877,82,2309,530,9,4081.92,67.6,2194.56,522.48,11.74,2740.42,128.34,1978.64,894.4,67.19,24,"amf ","Hamer ","Afro-Asiatic ","Africa ","Ethiopia ","5, 36.5"
"wly","North_Omotic","Gonga-Gimojan","Gimojan",25,"Azerbaijani",24237550,40.5,48.5,105101,105,46,142,8410,381,55,518.09,119.93,8076.59,425.02,61.52,795.61,111.47,8317.03,459.37,53.32,25,"wal ","Ometo ","Afro-Asiatic ","Africa ","Ethiopia ","6.6, 37.75"
"zay","North_Omotic","Gonga-Gimojan","Gimojan",26,"Baining",2200,-4.58,152,114101,114,540,242,385,2523,502,362.35,250.86,383.38,2941.5,550.09,282.54,253.82,400.42,3381.4,618.2,26,"zay ","Zayse ","Afro-Asiatic ","Africa ","Ethiopia ","5.8, 37.3"
"amh","Afro-Asiatic","Semitic","SouthSemitic",27,"Bakairφ",950,-14,-55,123101,123,444,241,1064,1661,36,457.76,239.75,1080.85,1702.58,37.1,366.63,247.35,1159.88,1738.84,37.38,27,"amh ","Amharic ","Afro-Asiatic ","Africa ","Ethiopia ","10, 38"
"aeg","Afro-Asiatic","Semitic","CentralSemitic",28,"Bandjalang(Yugumbir)",100,-27.92,153,110102,110,54,196,3998,932,122,216.22,187.81,3895.12,1213.84,147.04,365.32,182.93,4681.85,876.6,124.17,28,"arz ","Arabic_Egyptian ","Afro-Asiatic ","Africa ","North Africa ","30, 30"
"arg","Afro-Asiatic","Semitic","CentralSemitic",29,"Bardi",160,-16.58,122.92,110103,110,24,276,2258,706,4,45.41,274.84,2434.04,685.43,3.39,187.96,269.19,3487.48,670.75,8.73,29,"afb ","Arabic_Gulf ","Afro-Asiatic ","Eurasia ","Middle East ","24, 54"
"ams","Afro-Asiatic","Semitic","CentralSemitic",30,"Bashkir",1221340,53,58,105101,105,697,3,13105,454,71,564.96,9.97,13090.6,437.58,67.57,310.67,26.01,13002,425.83,66.54,30,"arb ","Arabic ","Afro-Asiatic ","Eurasia ","Middle East ","33, 44"
"amr","Afro-Asiatic","Semitic","CentralSemitic",31,"Basque",657876,43,-3,116101,116,727,108,4793,947,171,651.95,113.08,4890.75,887.65,158.28,696.95,116.89,5766.14,665.11,115.63,31,"ary ","Arabic_Moroccan ","Afro-Asiatic ","Africa ","North Africa ","34, -7"
"asy","Afro-Asiatic","Semitic","CentralSemitic",32,"Batak(karo)",600000,3.25,98.25,112103,112,842,223,310,2810,474,638.26,234.53,355.7,2565.92,418.98,348.74,251.49,370.78,2628.93,434.5,32,"apc ","Arabic_Syrian ","Afro-Asiatic ","Eurasia ","Middle East ","33, 37"
