	n 	H1a	L0a	L1b	L1c	L2a	L2b	L2c	L2d	L2e	L3b	L3d	L3e	L3f	L3h	L4b	U6a
North_Samo	35	0.00	0.06	0.00	0.00	0.49	0.09	0.09	0.03	0.00	0.11	0.03	0.06	0.00	0.00	0.00	0.06
South_Samo	39	0.00	0.03	0.10	0.00	0.38	0.05	0.05	0.05	0.03	0.13	0.10	0.05	0.03	0.00	0.00	0.00
Bisa	31	0.00	0.00	0.10	0.06	0.32	0.06	0.06	0.00	0.03	0.13	0.10	0.06	0.00	0.00	0.03	0.03
Marka	28	0.04	0.07	0.07	0.07	0.29	0.07	0.07	0.00	0.00	0.04	0.07	0.11	0.11	0.00	0.00	0.00
Mandenka	22	0.00	0.00	0.32	0.00	0.23	0.00	0.18	0.00	0.00	0.09	0.09	0.09	0.00	0.00	0.00	0.00
Samoya	16	0.00	0.00	0.13	0.06	0.38	0.00	0.06	0.06	0.00	0.13	0.06	0.06	0.00	0.00	0.06	0.00
Pana	18	0.00	0.00	0.06	0.00	0.39	0.00	0.17	0.00	0.00	0.06	0.06	0.17	0.06	0.06	0.00	0.00
Lyela	37	0.00	0.08	0.19	0.03	0.27	0.03	0.11	0.00	0.00	0.03	0.11	0.14	0.03	0.00	0.00	0.00
Nuna	26	0.00	0.00	0.15	0.04	0.50	0.00	0.04	0.04	0.00	0.08	0.04	0.12	0.00	0.00	0.00	0.00
Kassena	27	0.00	0.04	0.04	0.04	0.30	0.04	0.04	0.00	0.00	0.04	0.11	0.22	0.07	0.00	0.07	0.00
Mossi	34	0.00	0.03	0.06	0.00	0.41	0.00	0.15	0.03	0.00	0.00	0.06	0.18	0.00	0.00	0.00	0.09
Yoruba	22	0.00	0.00	0.18	0.05	0.41	0.00	0.00	0.00	0.00	0.00	0.05	0.18	0.14	0.00	0.00	0.00
