haplogroup	Austria/Switzerland(N=187)	EuropeanRussia(N=215)	Finland/Estonia(N=202)	France/Italy(N=248)	Germany(N=527)	Iceland(N=467)	Ireland(N=128)	Orkney(N=152)	Scandinavia(N=645)	Scotland(N=891)	Bulgaria/Turkey(N=102)	Spain/Portugal(N=352)	England/Wales(N=429)	WesternIsles/Isleof Skye(N=246)	Saami(N=176)
A	0	0	0	0	0	0	0	0	.16	0	0	.85	.23	.41	0
B	0	0	0	0	0	0	0	0	0	.11	0	0	0	0	0
C	0	1.86	.50	.40	.19	.43	0	0	0	0	1.96	1.14	0	0	0
D	0	1.86	0	.40	.38	0	0	0	.16	0	4.90	.28	0	0	5.11
H	47.06	33.49	36.63	45.16	38.33	28.27	41.41	40.79	39.69	38.38	31.37	50.28	40.79	27.24	1.70
H1	3.74	5.58	2.97	2.82	4.36	8.35	2.34	6.58	3.41	3.03	1.96	2.56	4.43	1.22	1.14
H3	.53	0	0	.40	1.14	.43	1.56	0	.62	.56	0	0	.93	1.22	0
H4	1.60	0	1.49	1.61	1.52	9.64	2.34	.66	2.33	1.23	3.92	3.41	3.03	3.25	0
H5	1.07	0	0	2.82	.76	.43	0	0	.62	.11	0	1.99	1.63	0	0
H8	0	3.26	2.97	.81	2.85	.43	0	2.63	1.86	2.36	.98	.28	1.40	1.63	2.84
I	2.14	1.40	2.48	.81	2.28	4.71	2.34	3.29	1.86	4.38	1.96	.57	3.03	6.50	0
J	5.35	6.51	4.95	2.42	6.83	6.85	11.72	7.89	6.82	8.64	5.88	3.69	10.72	10.57	0
J1	1.60	0	.50	0	.76	0	0	0	.47	.56	4.90	.28	.47	1.22	0
J1a	3.21	0	.50	.40	1.33	.43	.78	0	1.55	.45	0	.57	1.63	0	0
J1b	0	.47	0	.40	0	0	0	0	0	.11	.98	.57	0	0	0
J1b1	0	0	0	.40	.19	5.57	.78	1.97	1.40	3.48	0	0	1.40	1.22	0
J2	0	.93	.99	2.42	.19	1.28	.78	0	0	1.12	2.94	.85	.23	1.63	0
K	2.14	1.86	2.48	4.44	5.69	4.93	5.47	5.26	4.03	3.70	4.90	3.13	5.13	8.54	0
K1	0	0	0	0	.19	2.36	.78	1.32	.47	.79	0	0	.23	.81	0
K2	5.88	.93	0	1.61	.76	.43	.78	0	.16	1.01	.98	1.14	.47	.41	0
K2a	0	0	0	0	0	0	.78	0	.31	.56	0	0	0	1.22	0
K2b	1.07	0	0	0	0	0	0	0	0	.56	0	.28	.23	2.44	0
T	4.81	4.65	5.45	10.89	6.26	2.14	7.03	2.63	6.51	7.63	4.90	4.55	5.36	8.94	0
T1	1.07	3.72	1.49	3.23	2.47	.43	2.34	3.29	1.40	2.24	4.90	1.14	2.10	3.25	0
T2	.53	1.86	0	.40	.19	2.57	0	0	.93	.22	0	.28	.23	.41	0
T3	0	0	0	0	.19	4.93	0	0	0	0	0	0	0	0	0
U	0	0	0	0	.19	.21	0	0	0	0	0	0	0	0	0
U1	.53	.47	.50	1.21	.38	0	0	0	.16	0	0	.28	0	2.03	0
U2	1.07	0	.99	.81	.57	0	.78	0	.16	.79	0	.28	.70	.41	0
U3	.53	.47	0	.81	1.14	0	0	0	.78	1.23	5.88	.57	.70	2.44	0
U4	3.74	8.37	3.47	2.02	2.66	2.14	2.34	.66	2.17	2.47	3.92	1.99	1.63	.41	0
U5	.53	0	0	1.21	.19	.43	.78	2.63	1.71	1.12	.98	.57	.93	2.44	0
U5a	5.88	7.91	6.44	2.82	4.93	5.57	4.69	5.92	6.82	5.05	.98	4.55	3.50	4.88	.57
U5a1	.53	.93	1.49	0	.19	0	0	1.32	.47	0	0	0	.70	0	.57
U5b	.53	2.33	6.44	1.21	3.80	3.43	.78	1.97	1.71	1.01	0	.85	1.40	.81	1.70
U5b1	0	2.79	2.97	0	0	0	0	0	2.33	0	0	0	0	0	42.61
U6	0	0	0	0	0	0	0	0	0	0	0	1.42	0	0	0
U7	0	0	0	0	0	0	0	0	0	.11	0	0	0	0	0
V	2.67	4.19	6.44	2.82	5.12	1.71	7.03	1.32	5.74	4.26	0	5.97	3.73	2.03	39.77
W	1.60	2.33	5.45	.81	2.09	.21	2.34	1.97	1.55	.90	3.92	1.99	1.63	.41	.57
X	.53	0	1.49	2.02	.76	1.50	0	7.24	.62	1.68	3.92	1.70	.93	2.03	0
Z	0	.47	0	0	0	.21	0	0	.62	0	0	0	0	0	3.41
Other	0	1.40	.99	2.42	1.14	0	0	.66	.47	.11	2.94	1.99	.47	0	0
