Haplogroups	Cham	Kinh	Viet	Thailand	Cambodia	Hainan	Formosa	Philippine	Orang Asli	Melayu Malay	Indonesia	Sumatra 	Java	Borneo	Sulawesi	Bali	Lombok	Sumba	Alor_1	Ambon	Adonara	Alor_2	E-Timor	Flores	Lembata	Pantar	Solor
A			1.7 	1.5 		1.3 				0.3 																	
B*		0.7 	1.7 	0.9 	3.2 	3.8 		0.2 	1.1 			3.9 	4.3 		0.4 								5.3 		2.9 		
B4*		2.9 	2.7 	2.6 		0.6 	0.4 							0.6 	0.4 	1.2 											
B4a*	4.2 	3.6 	2.4 	2.6 		8.8 	1.0 	12.0 	0.7 	2.1 	3.7 	6.1 	2.2 	7.0 	5.1 	2.4 	4.5 	2.0 		9.3 	2.6 	29.6 	7.9 	3.9 	8.8 		2.4 
B4a1a1							9.2 	0.4 		0.3 				1.3 	3.8 				2.2 	14.0 			5.3 	3.9 			
B4a2							5.7 																				
B4b1	0.6 	0.7 	1.0 	0.8 		3.1 	10.3 	7.4 		1.3 		0.6 		1.9 	0.8 					4.7 	6.5 	7.4 		11.7 	8.8 	2.6 	9.8 
B4c1b	2.4 	2.2 	1.7 	0.2 		3.8 	0.4 	4.6 		3.1 	3.7 	4.4 	2.2 	1.9 	3.8 	6.1 			6.7 		5.2 			1.3 	2.9 	13.2 	
B4c2	10.7 	2.9 	1.0 	2.1 	16.1 	0.6 				2.1 	5.6 	2.2 		5.7 	0.8 	7.3 								1.3 			
B4g	1.2 	5.0 	1.4 	1.5 		0.6 																					
B5a	16.1 	12.9 	7.9 	8.8 		6.3 	5.4 	0.9 	0.7 	8.2 	7.4 	3.9 	2.2 	4.5 	2.5 	4.9 	6.8 		4.4 	7.0 				1.3 	2.9 		
B5b	1.8 	0.7 	0.7 			0.6 		7.4 	5.4 	1.8 		2.2 		1.3 	2.5 		2.3 				6.5 	3.7 		7.8 			2.4 
C	0.6 	4.3 	3.4 	3.0 		5.0 				1.3 			2.2 	1.3 	0.4 		2.3 										
D*	1.8 	0.7 	4.1 	3.4 		1.3 	1.1 	0.2 		2.3 				0.6 	2.5 				2.2 	4.7 							
D5		2.2 	2.4 	1.3 			4.2 	1.5 		2.3 	1.9 			1.3 	8.4 	1.2 	2.3 			2.3 	7.8 			11.7 	5.9 	2.6 	4.9 
E1	0.6 						12.0 	12.7 		8.0 	11.1 	6.1 	2.2 	10.8 	23.2 	6.1 	9.1 	14.0 	11.1 	7.0 	1.3 	7.4 	28.9 	5.2 	5.9 	5.3 	
E2	0.6 						0.4 	3.5 		1.0 		0.6 		3.2 	3.0 			2.0 		4.7 	1.3 		2.6 				12.2 
F1*	1.8 	2.9 	1.7 	1.7 						0.3 					0.4 												
F1a*	1.8 	6.5 	9.2 	7.5 			1.9 	7.4 		5.9 	5.6 	8.3 	17.4 	4.5 	8.9 	4.9 	13.6 	14.0 	8.9 	11.6 	22.1 	7.4 	5.3 	15.6 	17.6 	5.3 	12.2 
F1a1*	1.2 	4.3 	5.1 	1.3 		1.9 	2.9 				1.9 		2.2 	1.3 	0.4 	4.9 		2.0 									
F1a1a	6.0 	5.8 	6.2 	8.8 	25.8 	0.6 		0.2 	10.0 	4.9 	9.3 	5.0 	4.3 	0.6 	1.3 	2.4 	9.1 	4.0 	2.2 	2.3 	2.6 			1.3 	2.9 		
F2			0.7 	1.5 		2.5 	0.1 																				
F3a		0.7 	0.7 	2.3 		1.3 				0.3 									2.2 								
