CC=Georgia+Chechens 'caucasian'.  HU= Burushaski AN=Turkish GJ=Gujarati UZ=Uzbek Turkmen=TK
AN	CC	PE	TI	GI	MA	KI	LU	BA	BR	PA	SI	KA	PT	MK	HZ	HU	KL	GJ	UZ	TK	KT	SH
Sample Size	50	58	42	40	37	21	20	17	39	38	44	23	100	44	33	23	44	44	34	42	41	32	44
L1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0
L2a	0	0	0	0	0	4.8	0	0	0	0	0	0	1.0	0	9.1	0	0	0	0	0	0	0	0
L3b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.1	0	0	0	0	0	0	0	0
L3d	0	0	0	0	0	0	0	0	2.6	2.6	0	0	0	0	18.2	0	0	0	0	0	0	0	0
M*	0	1.8	4.8	0	2.7	0	0	0	33.3	21.1	54.5	30.4	47.0	29.5	9.1	13.0	22.7	0	44.1	11.9	4.9	0	0
M-C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3	0	0	2.4	7.3	9.4	18.2
M-D	2.0	0	0	0	2.7	0	0	0	0	5.3	0	0	0	0	0	0	0	0	0	9.5	22.0	0	0
M-G	2.0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	4.3	0	0	0	2.4	0	0	0
M-Z	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	13.0	0	0	0	0	0	0	0
N*	0	0	2.4	0	0	0	0	0	0	0	0	0	0	4.5	0	0	2.3	0	2.9	0	0	0	0
N1	0	0	0	0	0	0	0	0	2.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4	0	0
N1b	2.0	6.9	2.4	0	2.7	9.5	0	0	0	0	0	0	0	2.3	0	0	0	0	0	0	0	0	0
N1c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1	0
N1d	0	0	0	0	0	0	0	0	2.6	2.6	0	0	3.0	0	3.0	0	0	0	0	0	0	0	0
N9a	0	0	0	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.1	0	0	0
I	2.0	1.8	2.4	5.0	0	4.8	5.0	0	0	0	0	8.7	0	2.3	0	0	4.5	0	0	0	0	3.1	2.3
A	4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3	0	0	7.1	2.4	3.1	2.3
W	0	5.2	2.4	2.5	0	9.5	10.0	0	0	0	0	17.4	1.0	4.5	0	0	2.3	0	8.8	2.4	0	0	4.5
X	6.0	8.6	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	2.3	0	0	0	2.4	6.3	2.3
R*	0	0	0	0	0	0	0	0	0	0	0	0	2.0	2.3	6.1	8.7	0	0	8.8	0	0	0	0
R1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.4	0
R2	0	1.8	0	0	0	9.5	0	0	7.7	7.9	0	0	1.0	0	3.0	0	0	0	0	0	0	0	0
R5	0	0	2.4	0	0	0	0	0	0	0	0	0	2.0	2.3	0	0	2.3	0	0	2.4	0	0	0
R6	0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0
B	0	0	0	0	0	0	0	5.9	0	0	0	0	0	0	0	8.7	2.3	0	0	0	2.4	6.3	0
F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.7	0	0	0	2.4	2.4	0	0
(pre-HV)1	4.0	3.4	0	0	0	0	0	11.8	0	0	0	0	2.0	6.8	0	0	0	22.7	0	0	4.9	0	0
HV*	6.0	0	16.7	5.0	13.5	9.5	10.0	5.9	0	5.3	2.3	0	4.0	2.3	0	4.3	0	4.5	0	4.8	2.4	0	4.5
HV1	0	0	0	2.5	2.7	0	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HV2	0	0	2.4	0	8.1	0	5.0	5.9	10.3	0	9.1	4.3	0	0	6.1	0	0	0	0	2.4	2.4	0	0
H	26.0	22.4	14.3	30.0	13.5	14.3	10.0	17.6	20.5	26.3	2.3	8.7	12.0	4.5	3.0	13.0	6.8	4.5	5.9	21.4	22.0	12.5	29.5
