Language	Latitude	Longitude	Number of consonants in the onset	Number of consonants in the coda	Number of tones	Language family	Iso-code	Population	Number in the sample	A	B4a1a1	B4a2	B4b1	B4c1b	B4c2	B4g	B5a	B5b	C	D5	E1	E2	F1a1a	F2	F3a	F3b	F4	G	M10	M12	M17	M19	M20	M21a	M21b	M22	M33c	M47	M50	M51	M71	M72	M73	M77	M7b1	M8a	M9	N10	N21	N22	N9a6	P	Q	R11	R21	R22	R23	R9b	R9c	U	W	Y	Z	A2	A5	A8	B4	B5	C1	C4	C5	D2	D3	D4	F1	F2a	G1	G2a	G3	M3a	M7	M8a2	M9a	M11	M13a	N9a	R9	L2a	H	HV	HV0a	V	R0a	R2	J1	J2	T1	N1	I	N2	U1	U2	U3	U4	U5	U7a	U8	K	X2e	B	D	F	J	T	H1	H3	H4	H5	H8	J1b	J1b1	K1	K2	K2a	K2b	T2	T3	U5a	U5a1	U5b	U5b1	U6	U7	X	L2	A1	A1a	A2a	A2b	N9b	JT	B4a	B4a1	B4a3	B4b	B4c1	B4f	B5a1	B5b1	B5b2	B5b3	F1a	F1a1	F1b	F1c	F3	F4b	M	M7a	M7a1	M7b	M7b2	M7c	M8	C4a	G2a1	D4a	D4a1	D4b	D4d	D4k	D4n	D5a	L1	L3	M1	M5	N	R1	E	HV0	HV1	HV2	N1a	N1b	N2a	N9	R	U9	M2	M3	A6	B4e	G2	M7c1	L0d1	L0d2	L0d3	L0k1a	L0k1b	L0k2	C1a	D1a	S	M27a	M27b	M27c	M28a	M28b	M29a	M29b	P1	P1d	P1d1	Q1	Q1a	Q1b	Q1c	Q2a	Q2a2	B4a1a	B4a1a1a	B4a1a1a1	B4a1a1a3	B4a1a1a4	B4a1a1b	B4b1a2	B5b1c	B5b2a1b1	E1a2	E1b1	E2a	H1a	L0a	L1b	L1c	L2b	L2c	L2d	L2e	L3b	L3d	L3e	L3f	L3h	L4b	U6a	L0d	L0k	G1a	L0	M9b	E1b	M7c3	R5	R6	U2a	U2b	U2c	U2e	U8b
Yakut	62	130	1	2	0	Turkic	sah	Yakuts	36	0	0	0	0	0	0	0	0	0	0.64	0.028	0	0	0	0	0	0	0	0.028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028	0	0	0.36	0.11	0.028	0.028	0.196	0	0	0	0.028	0	0	0	0	0	0	0	0	0	0	0.028	0.028	0	0	0	0	0.056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028	0.224	0	0.056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.892	0	0	0	0	0	0.64	0	0	0	0	0.028	0	0	0	0	0	1.004	0	0	0.112	0	0	0	0	0	0	0	0	0	0.112	0	0	0	0	0	0.028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shor	53	88	1	2	0	Turkic	cjs	Shors	82	0.012	0	0	0	0	0	0	0	0	0.121	0.012	0	0	0	0.012	0	0	0	0	0.037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036	0	0	0.012	0	0	0	0.049	0	0	0.085	0.012	0	0	0.11	0.4	0.012	0	0	0	0	0	0	0	0	0	0	0.412	0	0.11	0.11	0	0	0	0	0.061	0	0	0.024	0.024	0	0	0	0	0.024	0	0	0.012	0.012	0	0.049	0.122	0.412	0.061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.292	0	0	0	0	0	0.133	0	0	0	0	0	0	0	0	0	0	0.996	0	0	0.704	0	0	0	0	0	0.024	0	0	0	0.668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012
Khakas	53	90	1	2	0	Turkic	kjh	Khakassians	57	0.035	0	0	0	0	0	0	0	0	0.193	0	0	0	0	0.053	0	0	0	0.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036	0	0	0	0	0	0	0.088	0	0	0.14	0	0	0	0.16	0.19	0.053	0	0	0.018	0	0	0.035	0	0	0	0	0.243	0	0.07	0.088	0.018	0.018	0	0	0.035	0.018	0.053	0	0	0	0	0	0	0.018	0.018	0	0	0	0	0.088	0.16	0.243	0.053	0.053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.406	0	0	0	0	0	0.228	0	0	0	0	0	0	0	0	0	0	1.002	0	0	0.596	0	0	0.018	0	0	0	0	0	0	0.561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chuvash	55.5	47.5	1	2	0	Turkic	chv	Chuvash	55	0.018	0	0	0	0	0	0	0	0	0.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.255	0.255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036	0	0.055	0.037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.072	0	0	0	0	0	0.018	0	0	0	0	0	0	0	0	0	0	0.801	0	0	0.729	0	0	0	0	0	0	0	0	0	0.711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tatar	56	49.5	1	2	0	Turkic	tat	Tatars	174	0.023	0	0	0	0	0	0	0	0	0.017	0	0	0	0	0	0	0	0	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.316	0.316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.029	0	0.081	0.081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.081	0	0	0	0	0	0.017	0	0	0	0	0	0	0	0	0	0	0.829	0	0	0.748	0	0	0	0	0	0	0	0	0	0.725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bashkir	53	58	1	2	0	Turkic	bak	Bashkirs	211	0.043	0	0	0	0	0	0	0	0	0.128	0	0	0	0	0	0	0	0	0.047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.062	0	0.142	0.142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.081	0.062	0.033	0.052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.266	0	0	0	0	0	0.128	0	0	0	0	0	0	0	0	0	0	0.873	0	0	0.607	0	0	0	0	0	0	0	0	0	0.564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kazakh	50	70	1	2	0	Turkic	kaz	Kazakhs	52	0.096	0	0	0	0	0	0	0	0	0.077	0	0	0	0	0	0	0	0	0.058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019	0	0.154	0.154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.058	0.192	0.019	0	0.077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.385	0	0	0	0	0	0.077	0	0	0	0	0	0	0	0	0	0	0.846	0	0	0.461	0	0	0	0	0	0	0	0	0	0.365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chukchi	67	-173	2	2	0	Chukotko-Kamchatkan	ckt	Chukchi	79	0.772	0	0	0	0	0	0	0	0	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.228	0	0	0	0	0	0.025	0	0	0	0	0	0	0	0	0	0	1	0	0	0.772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Siberian Yupik	65	-175	1	1	0	Eskimo-Aleut	ess	Eskimo	51	0.039	0	0	0	0	0	0	0	0	0.843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.098	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.941	0	0	0	0	0	0.843	0	0	0	0	0	0	0	0	0	0	1	0	0	0.059	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
German_Swiss	46.975	8.405	3	3	0	Indo-European	gsw	Austria/Switzerland	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2243	0.016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.54	0.5667	0.0267	0.0267	0	0	0.0481	0	0.0107	0.0214	0.0214	0.016	0.0053	0.0107	0.0053	0.0374	0.0747	0	0.0909	0.0909	0	0	0	0	0.1016	0.0641	0.0374	0.0053	0.016	0.0107	0	0	0	0	0.0695	0	0.0107	0.0053	0	0.0641	0.0053	0.0053	0	0	0	0.0053	0	0	0	0	0	0	0.1657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9994	0	0	0.9994	0	0	0.0267	0	0	0.0214	0	0	0	0.9567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0909
