Group	Japanese	Ryukyuan	Ainu	Chinese1	Chinese2	Chinese3	Chinese4	Chinese5	Chinese6	CentralAsia1	CentralAsia2	Taiwanese	Mansi	Itelmen	Finnougrian	Aluitor	Koryak	Chukchi	Tuvinian	Buryat	Korean	Tibetan	SakaiTrangThailand	Philippines	Indonesia	Sabah
Group	 JPN	 RYU	 AIN	 Ch1	 Ch2	 Ch3	 Ch4	 Ch5	 Ch6	 CA1	 CA2	 TWA	 MAN	 ITE	 FIU	 ALU	 KAM	 CHU	 TUV	 BUR	 KOR	 TIB	 SAK	 FIL	 IND	 SAB
Sample	 1312	 50	 51	 213	 435	 32	 72	 757	 67	 204	 93	 208	 98	 46	 38	 56	 91	 60	 36	 40	 537	 65	 20	32	 40	 34
L2	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 5	 -	 -	 -
M/N	 1.3	 18	 1.96	 3.29	 1.61	 -	 4.17	 5.55	 -	 1.96	 1.08	 2.4	 1.02	 -	 2.63	 -	 -	 -	 -	 25	 5.96	 9.23	 -	 6.25	 10	 17.6
I/W/N	 -	 -	 -	 -	 -	 -	 -	 -	 -	 2.45	 -	 -	 -	 -	 2.63	 -	 -	 -	 -	 -	 0.37	 -	 -	 -	 -	 -
A1	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 1.67	 -	 -	 0.19	 -	 -	 -	 -	 -
A1a	 2.13	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 3.54	 -	 -	 -	 -	 -
A1b	 4.57	 2	 3.92	 5.16	 7.36	 -	 5.56	 2.77	 7.46	 6.86	 2.15	 0.48	 3.06	 6.52	 -	 1.79	 3.3	 -	 5.56	 5	 2.98	 6.15	 -	 -	 -	 -
A1b1	 0.15	 -	 -	 0.47	 0.46	 -	 1.39	 0.92	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 0.74	 -	 -	 -	 -	 -
A2a	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 10	 -	 -	 -	 -	 -	 -	 -	 -
A2b	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 3.57	 2.2	 50	 -	 -	 0.37	 3.08	 -	 -	 -	 -
N9a	 4.57	 -	 -	 3.76	 1.38	 -	 6.94	 2.91	 -	 1.96	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 3.91	 -	 -	 -	 2.5	 -
N9b	 2.13	 2	 2	 -	 -	 -	 -	 0.13	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 0.19	 -	 -	 -	 -	 -
Y	 0.38	 -	 21.6	 3.29	 1.38	 -	 -	 0.53	 -	 0.49	 -	 0.96	 -	 4.35	 -	 7.14	 9.89	 -	 -	 -	 2.23	 -	 -	 3.13	 2.5	 2.94
HV	 0.91	 4	 -	 0.47	 1.84	 -	 -	 1.85	 -	 13.7	 20.5	 -	 18.4	 -	 36.79	 -	 1.1	 -	 2.78	 5	 1.12	 -	 -	 3.13	 5	 -
JT	 -	 -	 -	 2.82	 1.15	 -	 -	 -	 -	 5.4	 8.61	 -	 19.4	 -	 23.65	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -
UK	 -	 -	 -	 -	 1.38	 -	 -	 0.39	 -	 10.3	 5.39	 -	 25.5	 -	 10.52	 -	 -	 -	 2.78	 -	 -	 -	 -	 -	 5	 -
R9a	 0.08	 -	 -	 1.88	 0.69	 -	 -	 1.85	 -	 -	 -	 7.69	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 3.13	 -	 2.94
R11	 -	 -	 -	 0.94	 0.46	 12.5	 -	 1.85	 -	 0.49	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -
B	 1.3	 -	 -	 0.47	 1.84	 -	 4.17	 1.19	 -	 0.98	 1.08	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 3.13	 -	 2.94
B4	 0.76	 2	 -	 1.88	 2.53	 9.38	 1.39	 1.98	 5.97	 1.96	 1.08	 -	 -	 -	 -	 -	 -	 -	 -	 2.5	 0.74	 1.54	 -	 -	 -	 -
B4a	 0.84	 -	 -	 2.35	 1.61	 -	 1.39	 4.36	 -	 0.49	 1.08	 14.9	 -	 -	 -	 -	 -	 -	 2.78	 -	 0.56	 -	 -	 -	 -	 -
B4a1	 0.84	 2	 -	 -	 -	 -	 -	 -	 -	 -	 -	 0.48	 -	 -	 -	 -	 -	 -	 -	 -	 0.56	 -	 -	 -	 -	 -
B4a2	 -	 -	 -	 0.47	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -
B4a3	 -	 -	 -	 0.47	 -	 15.6	 2.78	 1.85	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -
B4b	 0.53	 -	 -	 1.88	 1.61	 -	 6.94	 1.72	 -	 -	 -	 4.33	 -	 -	 -	 -	 -	 -	 11.1	 -	 0.74	 -	 -	 -	 -	 -
