Yakuts,Chuvash,Tatars,Bashkirs,Uighurs,Kazakhs,Kyrgyz,Altai-kizhi,Shorians,Khakassians,Soyots,Tuvinians,Tuvinians,Koryaks,Itelmen,Chukchi,Eskimo,Evenks,Evens,Mongols
A B C D G F M* J T U H Others
191 2.1 0.5 44.0 30.4 4.2 6.3 2.6 1.1 1.1 1.1 2.6 4.0
55 1.8 0 1.8 3.6 0 0 1.8 5.5 3.7 36.4 25.5 19.9
174 2.3 0 1.7 2.9 1.2 0 2.3 8.1 8.1 24.7 31.6 17.1
211 4.3 0 12.8 8.1 4.7 6.2 1.0 3.3 5.2 27.5 14.2 12.7
55 7.3 7.3 1.8 16.4 0 7.3 7.3 0 1.8 16.4 20.0 14.4
52 9.6 5.8 7.7 19.2 5.8 1.9 5.8 0 7.7 5.7 15.4 15.4
92 3.3 6.5 14.1 19.6 7.6 3.3 6.5 5.4 3.3 3.3 18.5 8.6
92 3.3 3.3 30.4 9.8 4.4 5.4 9.8 5.4 0 5.4 5.4 17.4
42 0 2.4 7.1 9.5 0 43.0 2.4 11.9 0 0 21.4 2.3
54 3.7 2.9 35.2 9.3 0 22.0 0 1.9 1.9 11.1 3.7 5.6
34 8.8 2.9 17.6 50.0 0 0 0 0 0 5.9 0 14.8
36 5.6 14.0 36.1 16.7 5.6 8.3 0 0 0 2.8 2.8 8.1
155 5.2 0 36.1 1.3 41.9 0 0 0 0 0 0 15.5
47 6.4 0 14.9 0 68.1 0 0 0 0 0 0 10.6
66 68.2 0 10.6 12.1 9.1 0 0 0 0 0 0 0
79 77.2 0 2.5 20.3 0 0 0 0 0 0 0 0
51 3.9 0 84.3 9.8 0 2.0 0 0 0 0 0 0
65 4.6 0 26.2 15.4 0 1.5 0 0 0 0 0 52.3
103 3.9 9.7 14.6 30.1 2.9 5.8 11.7 0 1.0 3.9 7.8 8.6


￼￼￼￼￼￼￼
