Table S1. List of 952 mtDNA genomes identified in modern Japanese.			
Haplogroups	Accession Numbers	Sample Names	References
A	AP008265.1	TCsq0006	[30]
A	AP008276.1	TCsq0017	[30]
A	AP008290.1	TCsq0031	[30]
A	AP008307.1	TCsq0048	[30]
A	AP008322.1	TCsq0063	[30]
A	AP008324.1	TCsq0065	[30]
A	AP008340.1	TCsq0081	[30]
A	AP008343.1	TCsq0084	[30]
A	AP008349.1	PDsq0006	[30]
A	AP008363.1	PDsq0025	[30]
A	AP008364.1	PDsq0026	[30]
A	AP008396.1	PDsq0072	[30]
A	AP008433.1	PDsq0135	[30]
A	AP008459.1	KAsq0021	[30]
A	AP008461.1	KAsq0023	[30]
A	AP008471.1	KAsq0033	[30]
A	AP008510.1	KAsq0072	[30]
A	AP008532.1	KAsq0095	[30]
A	AP008538.1	ONsq0002	[30]
A	AP008547.1	ONsq0016	[30]
A	AP008562.1	ONsq0038	[30]
A	AP008576.1	ONsq0060	[30]
A	AP008581.1	ONsq0067	[30]
A	AP008596.1	ONsq0092	[30]
A	AP008606.1	ONsq0106	[30]
A	AP008617.1	ONsq0125	[30]
A	AP008622.1	ONsq0135	[30]
A	AP008644.1	HNsq0157	[30]
A	AP008657.1	HNsq0170	[30]
A	AP008694.1	HNsq0218	[30]
A	AP008707.1	HNsq0233	[30]
A	AP008741.1	NDsq0028	[30]
A	AP008743.1	NDsq0033	[30]
A	AP008747.1	NDsq0045	[30]
A	AP008748.1	NDsq0046	[30]
A	AP008761.1	NDsq0077	[30]
A	AP008762.1	NDsq0086	[30]
A	AP008785.1	NDsq0139	[30]
A	AP008791.1	NDsq0157	[30]
A	AP008822.1	NDsq0218	[30]
A	AP008835.1	JDsq0013	[30]
A	AP008853.1	JDsq0034	[30]
A	AP008867.1	JDsq0049	[30]
A	AP008874.1	JDsq0057	[30]
A	AP008878.1	JDsq0061	[30]
A	AP008883.1	JDsq0066	[30]
A	AP008893.1	JDsq0077	[30]
A	AP008914.1	JDsq0098	[30]
A	AP009429.1	mdmd11	[54]
A	AP009452.1	mdmd34	[54]
A	AP009455.1	mdmd37	[54]
A	AP009468.1	mdmd50	[54]
A	AP010675.1	SCsq0015	[56]
A	AP010699.1	SCsq0039	[56]
A	AP010701.1	SCsq0041	[56]
A	AP010709.1	SCsq0049	[56]
A	AP010724.1	SCsq0064	[56]
A	AP010745.1	SCsq0085	[56]
A	AP010746.1	SCsq0086	[56]
A	AP010832.1	EH1061	[59]
A	AP010833.1	TK1057	[59]
A	AP010976.1	SPsq0009	[58]
A	AP010989.1	SPsq0023	[58]
A	AP010994.1	SPsq0028	[58]
A	AP011024.1	SPsq0059	[58]
A	AP011026.1	SPsq0061	[58]
A	AP011027.1	SPsq0062	[58]
A	AP011030.1	SPsq0065	[58]
A	AP011037.1	SPsq0074	[58]
A	AP011038.1	SPsq0075	[58]
B4	AP008257.1	GCsq0021	[30]
B4	AP008262.1	TCsq0003	[30]
B4	AP008269.1	TCsq0010	[30]
B4	AP008281.1	TCsq0022	[30]
B4	AP008298.1	TCsq0039	[30]
B4	AP008325.1	TCsq0066	[30]
B4	AP008335.1	TCsq0076	[30]
B4	AP008346.1	PDsq0003	[30]
B4	AP008355.1	PDsq0014	[30]
B4	AP008384.1	PDsq0051	[30]
B4	AP008393.1	PDsq0067	[30]
B4	AP008412.1	PDsq0103	[30]
B4	AP008415.1	PDsq0112	[30]
B4	AP008423.1	PDsq0121	[30]
B4	AP008425.1	PDsq0123	[30]
B4	AP008436.1	PDsq0139	[30]
B4	AP008450.1	KAsq0012	[30]
B4	AP008470.1	KAsq0032	[30]
B4	AP008472.1	KAsq0034	[30]
B4	AP008482.1	KAsq0044	[30]
B4	AP008492.1	KAsq0054	[30]
B4	AP008512.1	KAsq0074	[30]
B4	AP008516.1	KAsq0079	[30]
B4	AP008521.1	KAsq0084	[30]
B4	AP008540.1	ONsq0009	[30]
B4	AP008550.1	ONsq0022	[30]
B4	AP008563.1	ONsq0039	[30]
B4	AP008567.1	ONsq0043	[30]
B4	AP008570.1	ONsq0049	[30]
B4	AP008594.1	ONsq0089	[30]
B4	AP008595.1	ONsq0091	[30]
B4	AP008597.1	ONsq0093	[30]
B4	AP008601.1	ONsq0098	[30]
B4	AP008603.1	ONsq0102	[30]
B4	AP008604.1	ONsq0104	[30]
B4	AP008640.1	HNsq0153	[30]
B4	AP008650.1	HNsq0163	[30]
B4	AP008654.1	HNsq0167	[30]
B4	AP008661.1	HNsq0174	[30]
B4	AP008665.1	HNsq0178	[30]
B4	AP008669.1	HNsq0182	[30]
B4	AP008682.1	HNsq0195	[30]
B4	AP008688.1	HNsq0212	[30]
B4	AP008712.1	HNsq0238	[30]
B4	AP008788.1	NDsq0149	[30]
B4	AP008793.1	NDsq0159	[30]
B4	AP008831.1	JDsq0009	[30]
B4	AP008842.1	JDsq0022	[30]
B4	AP008848.1	JDsq0029	[30]
B4	AP008856.1	JDsq0037	[30]
B4	AP008879.1	JDsq0062	[30]
B4	AP008889.1	JDsq0073	[30]
B4	AP008898.1	JDsq0082	[30]
B4	AP008899.1	JDsq0083	[30]
B4	AP008900.1	JDsq0084	[30]
B4	AP008904.1	JDsq0088	[30]
B4	AP008912.1	JDsq0096	[30]
B4	AP008917.1	JDsq0101	[30]
B4	AP008920.1	JDsq0106	[30]
B4	AP009436.1	mdmd18	[54]
B4	AP009444.1	mdmd26	[54]
B4	AP009450.1	mdmd32	[54]
B4	AP009456.1	mdmd38	[54]
B4	AP009457.1	mdmd39	[54]
B4	AP009461.1	mdmd43	[54]
B4	AP009463.1	mdmd45	[54]
B4	AP009471.1	mdmd53	[54]
B4	AP010671.1	SCsq0011	[56]
B4	AP010679.1	SCsq0019	[56]
B4	AP010696.1	SCsq0036	[56]
B4	AP010704.1	SCsq0044	[56]
B4	AP010705.1	SCsq0045	[56]
B4	AP010718.1	SCsq0058	[56]
B4	AP010733.1	SCsq0073	[56]
B4	AP010735.1	SCsq0075	[56]
B4	AP010740.1	SCsq0080	[56]
B4	AP010755.1	SCsq0095	[56]
B4	AP010757.1	SCsq0098	[56]
B4	AP010769.1	SCsq0110	[56]
B4	AP010835.1	CB1068	[59]
B4	AP010836.1	IG1089	[59]
B4	AP011002.1	SPsq0036	[58]
B4	AP011003.1	SPsq0037	[58]
B4	AP011018.1	SPsq0052	[58]
B4	AP011028.1	SPsq0063	[58]
B4	AP011043.1	SPsq0080	[58]
B4	AP011058.1	SPsq0095	[58]
B5	AP008263.1	TCsq0004	[30]
B5	AP008273.1	TCsq0014	[30]
B5	AP008284.1	TCsq0025	[30]
B5	AP008288.1	TCsq0029	[30]
B5	AP008323.1	TCsq0064	[30]
B5	AP008371.1	PDsq0033	[30]
B5	AP008403.1	PDsq0089	[30]
B5	AP008451.1	KAsq0013	[30]
B5	AP008465.1	KAsq0027	[30]
B5	AP008488.1	KAsq0050	[30]
B5	AP008491.1	KAsq0053	[30]
B5	AP008518.1	KAsq0081	[30]
B5	AP008546.1	ONsq0015	[30]
B5	AP008552.1	ONsq0025	[30]
B5	AP008566.1	ONsq0042	[30]
B5	AP008580.1	ONsq0066	[30]
B5	AP008584.1	ONsq0070	[30]
B5	AP008631.1	ONsq0150	[30]
B5	AP008687.1	HNsq0211	[30]
B5	AP008737.1	NDsq0020	[30]
B5	AP008751.1	NDsq0056	[30]
B5	AP008781.1	NDsq0126	[30]
B5	AP008802.1	NDsq0179	[30]
B5	AP008827.1	JDsq0005	[30]
B5	AP008846.1	JDsq0027	[30]
B5	AP008847.1	JDsq0028	[30]
B5	AP008852.1	JDsq0033	[30]
B5	AP008875.1	JDsq0058	[30]
B5	AP008910.1	JDsq0094	[30]
B5	AP009425.1	mdmd7	[54]
B5	AP010686.1	SCsq0026	[56]
B5	AP010689.1	SCsq0029	[56]
B5	AP010761.1	SCsq0102	[56]
B5	AP010771.1	SCsq0112	[56]
B5	AP011050.1	SPsq0087	[58]
B5	AP011059.1	SPsq0096	[58]
B5	DQ112865.2	AS28	[55]
D4	AF346989.1	Japanese	[53]
D4	AF346990.1	Japanese	[53]
D4	AP008251.1	GCsq0009	[30]
D4	AP008252.1	GCsq0014	[30]
D4	AP008254.1	GCsq0017	[30]
D4	AP008255.1	GCsq0019	[30]
